ID,Age,Gender,Race,City,State,Latitude,Longitude,Cause_of_Death,Mental_Illness,Year
19154,18,Male,African-American/Black,Portsmouth,VA,36.8293152,-76.3422941,Gunshot,No,2015
19155,39,Male,Asian/Pacific Islander,Eldorado Springs,CO,39.9383438,-105.2574821,Gunshot,No,2015
19156,30,Male,European-American/White,Queens,NY,40.709976,-73.7947113,Gunshot,Drug or alcohol use,2015
19157,51,Male,Hispanic/Latino,Bisbee,AZ,31.4005159,-109.9174098,Gunshot,Yes,2015
19158,31,Male,Hispanic/Latino,Fort Worth,TX,32.7669266,-97.3039111,Gunshot,No,2015
19159,56,Male,Race unspecified,Troy,MI,42.5350707,-83.1203208,Fell from a height,Unknown,2015
19160,48,Male,African-American/Black,Houston,TX,29.6586813,-95.3364397,Vehicle,No,2015
19161,46,Female,European-American/White,Sebastopol,CA,38.3752693,-122.7926485,Gunshot,No,2015
19162,26,Male,European-American/White,Los Angeles,CA,34.310305,-118.4532315,Gunshot,Yes,2015
19163,51,Male,European-American/White,Rufe,OK,34.1311226,-95.157212,Gunshot,No,2015
19164,19,Male,Hispanic/Latino,Long Beach,CA,33.7807969,-118.1736239,Gunshot,No,2015
19165,20,Male,African-American/Black,Trinidad,CO,37.1747378,-104.4912512,Gunshot,No,2015
19166,28,Male,African-American/Black,West End,NC,35.2269405,-79.4604886,Vehicle,No,2015
19167,29,Female,African-American/Black,West End,NC,35.2282345,-79.4606949,Vehicle,No,2015
19168,50,Female,African-American/Black,Portage,MI,42.2033645,-85.5902059,Vehicle,No,2015
19169,63,Male,European-American/White,Miami,OK,36.8974006,-94.88661,Gunshot,Unknown,2015
19170,49,Male,European-American/White,Salem,OR,44.9155804,-123.0001204,Gunshot,No,2015
19171,24,Male,African-American/Black,New York,NY,40.7245394,-73.9822911,Gunshot,Yes,2015
19172,25,Male,European-American/White,Victoria,TX,28.8776801,-97.0016067,Gunshot,No,2015
19173,58,Male,European-American/White,Clermont,FL,28.567081,-81.812325,Gunshot,Unknown,2015
19174,45,Male,European-American/White,Fountain Valley,CA,33.6970428,-117.9541787,Gunshot,No,2015
19177,61,Female,European-American/White,Sacramento,CA,38.6174645,-121.4404102,Vehicle,No,2015
19178,21,Female,African-American/Black,Avon,MA,42.1220636,-71.0408377,Vehicle,No,2015
19179,20,Male,African-American/Black,Detroit,MI,42.364703,-83.2360354,Gunshot,No,2015
19180,21,Male,European-American/White,Avon,MA,42.1220636,-71.0408377,Vehicle,No,2015
19181,30,Male,African-American/Black,Sylvester,GA,31.5186679,-83.8362067,Vehicle,No,2015
19182,22,Male,African-American/Black,New Orleans,LA,30.0190106,-89.9658311,Gunshot,No,2015
19183,27,Male,European-American/White,Marion,IL,37.7309131,-88.9412634,Gunshot,No,2015
19184,58,Male,European-American/White,Mansfield,OH,40.7386679,-82.515629,Gunshot,No,2015
19185,53,Male,African-American/Black,Emporia,VA,36.6111366,-77.5012457,Gunshot,Yes,2015
19186,30,Male,African-American/Black,Savannah,GA,32.0237972,-81.2293788,Gunshot,Yes,2015
19187,26,Male,European-American/White,Chickasha,OK,35.040062,-97.9479067,Gunshot,No,2015
19188,27,Male,Hispanic/Latino,Elk Grove,CA,38.3709689,-121.4954952,Gunshot,No,2015
19189,22,Male,Hispanic/Latino,El Paso,TX,31.6944353,-106.3420756,Gunshot,No,2015
19190,33,Male,Native American/Alaskan,Mesa,AZ,33.3895695,-111.8007656,Gunshot,No,2015
19192,42,Male,Asian/Pacific Islander,San Diego,CA,32.7542598,-117.2055965,Gunshot,Unknown,2015
19193,53,Male,European-American/White,Nashville,TN,36.054037,-86.778671,Gunshot,Yes,2015
19194,19,Male,African-American/Black,Atlanta,GA,33.7476218,-84.3492207,Vehicle,No,2015
19195,24,Male,Race unspecified,St. Louis,MO,38.6830847,-90.2046041,Vehicle,No,2015
19196,66,Male,Race unspecified,Carbondale,KS,38.8422328,-95.6964557,Tasered,Unknown,2015
19197,55,Male,Native American/Alaskan,Tulsa,OK,36.1605484,-95.9021444,Vehicle,No,2015
19198,35,Male,African-American/Black,Dallas,TX,32.9013623,-96.7150456,Drug overdose,Yes,2015
19199,52,Male,European-American/White,Smyrna,DE,39.2800574,-75.6029704,Gunshot,Unknown,2015
19200,24,Male,European-American/White,Lapeer,MI,42.9998293,-83.3214445,Vehicle,No,2015
19201,44,Male,Race unspecified,Greenville,MS,33.4175539,-91.0311408,Gunshot,No,2015
19202,30,Male,African-American/Black,Garland,TX,32.9593136,-96.6418415,Gunshot,No,2015
19203,53,Male,European-American/White,Chavies,KY,37.3799036,-83.2449111,Gunshot,Unknown,2015
19204,36,Male,European-American/White,Roosevelt,UT,40.3034034,-109.9951855,Gunshot,No,2015
