FID,Station_name,CITY,STATE
5363,AUSTIN PEAY STATE UNIVERSITY PUBLIC SAFETY DEPARTMENT,CLARKSVILLE,TN
5364,FALLON COUNTY SHERIFFS OFFICE  ,BAKER,MT
5365,FRANKLIN CITY POLICE DEPARTMENT,FRANKLIN,OH
5366,WALTON HILLS POLICE DEPARTMENT,WALTON HILLS,OH
5367,POWELL COUNTY SHERIFFS OFFICE  ,DEER LODGE,MT
5368,BLACK DIAMOND POLICE DEPARTMENT,BLACK DIAMOND,WA
5369,MAINEVILLE POLICE DEPARTMENT,MAINEVILLE,OH
5370,MIDVALE POLICE DEPARTMENT,MIDVALE,OH
5371,WASHINGTON TOWNSHIP POLICE,WASHINGTON,NJ
5372,BEAVERHEAD COUNTY SHERIFFS DEPARTMENT  ,DILLON,MT
5373,HURRICANE POLICE DEPARTMENT,HURRICANE,UT
5374,MUSSELSHELL COUNTY SHERIFFS OFFICE  ,ROUNDUP,MT
5375,DAYTON INTERNATIONAL AIRPORT POLICE,VANDALIA,OH
5376,LOWRY CITY POLICE DEPARTMENT,LOWRY CITY,MO
5377,EASTERN OKLAHOMA STATE COLLEGE CAMPUS POLICE DEPARTMENT,WILBURTON,OK
5378,SEMINOLE STATE COLLEGE POLICE DEPARTMENT,SEMINOLE,OK
5379,CARDWELL POLICE DEPARTMENT,CARDWELL,MO
5380,OKLAHOMA STATE UNIVERSITY  ,TULSA,OK
5381,GREYBULL POLICE DEPARTMENT,GREYBULL,WY
5382,ADAMSVILLE POLICE DEPARTMENT,ADAMSVILLE,TN
5383,NORTH ENID POLICE DEPARTMENT,ENID,OK
5384,BUCHANAN COUNTY SHERIFFS DEPARTMENT  ,SAINT JOSEPH,MO
5385,BETHEL SPRINGS POLICE DEPARTMENT,BETHEL SPRINGS,TN
5386,LOVELL POLICE DEPARTMENT,LOVELL,WY
5387,ALBANY COUNTY SHERIFFS OFFICE,LARAMIE,WY
5388,VILLAGE POLICE DEPARTMENT,OKLAHOMA CITY,OK
5389,OCEANA POLICE DEPARTMENT,OCEANA,WV
5390,MONTVILLE TOWNSHIP POLICE DEPARTMENT,MONTVILLE,NJ
5391,WHEELING POLICE DEPARTMENT,WHEELING,WV
5392,SPRINGFIELD TOWNSHIP POLICE DEPARTMENT,AKRON,OH
5393,HICKSVILLE POLICE DEPARTMENT,HICKSVILLE,OH
5394,NEW HAMPTON POLICE DEPARTMENT,NEW HAMPTON,NH
5395,STOW POLICE DEPARTMENT,STOW,OH
5396,BOONTON TOWNSHIP POLICE DEPARTMENT,BOONTON TOWNSHIP,NJ
5397,WEST HAMLIN POLICE DEPARTMENT,WEST HAMLIN,WV
5398,WINCHESTER POLICE DEPARTMENT,WINCHESTER,NH
5399,BLADENBORO POLICE DEPARTMENT,BLADENBORO,NC
5400,MONONGAH POLICE DEPARTMENT,MONONGAH,WV
5401,BROOKFORD POLICE DEPARTMENT,HICKORY,NC
