FID,Station_name,CITY,STATE
1,HIRAM POLICE DEPARTMENT,HIRAM,GA
2,GLENNVILLE POLICE DEPARTMENT,GLENNVILLE,GA
3,SIMMESPORT POLICE DEPARTMENT,SIMMESPORT,LA
4,DUBBERLY POLICE DEPARTMENT,DUBBERLY,LA
5,SEBEWAING POLICE DEPARTMENT,SEBEWAING,MI
6,MICHIGAN SENATE POLICE DEPARTMENT,LANSING,MI
7,FOWLERVILLE POLICE DEPARTMENT,FOWLERVILLE,MI
8,IONIA DEPARTMENT OF PUBLIC SAFETY,IONIA,MI
9,OLIVE HILL POLICE DEPARTMENT,OLIVE HILL,KY
10,BRIDGEPORT TOWNSHIP POLICE DEPARTMENT,BRIDGEPORT,MI
11,CALUMET POLICE DEPARTMENT,CALUMET,MI
12,VANCEBURG POLICE DEPARTMENT,VANCEBURG,KY
13,TAWAS POLICE AUTHORITY,EAST TAWAS,MI
14,CRITTENDEN COUNTY SHERIFFS OFFICE,MARION,KY
15,GRAND RAPIDS POLICE DEPARTMENT,GRAND RAPIDS,MI
16,HOWELL POLICE DEPARTMENT,HOWELL,MI
17,UTICA POLICE DEPARTMENT,UTICA,IN
18,SOUTH ROCKWOOD POLICE DEPARTMENT,SOUTH ROCKWOOD,MI
19,KENTON COUNTY POLICE DEPARTMENT,INDEPENDENCE,KY
20,NEW CARROLLTON CITY POLICE DEPARTMENT,NEW CARROLLTON,MD
21,PARK HILLS POLICE DEPARTMENT,COVINGTON,KY
22,BOWIE POLICE DEPARTMENT,BOWIE,MD
23,RICHMOND POLICE DEPARTMENT,RICHMOND,MI
24,OWINGSVILLE POLICE DEPARTMENT,OWINGSVILLE,KY
25,SNOW HILL POLICE DEPARTMENT,SNOWHILL,MD
26,GREENSBURG POLICE DEPARTMENT,GREENSBURG,KY
27,CITY OF FULTON POLICE DEPARTMENT,FULTON,KY
28,KOKOMO POLICE DEPARTMENT,KOKOMO,IN
29,MADISON COUNTY SHERIFFS DEPARTMENT ,ANDERSON,IN
30,BREWER POLICE DEPARTMENT,BREWER,ME
31,LATHRUP VILLAGE POLICE DEPARTMENT,LATHRUP VILLAGE,MI
32,ANDERSON POLICE DEPARTMENT,ANDERSON,IN
33,JACKSON COUNTY SHERIFFS OFFICE,HOLTON,KS
34,SWANS ISLAND POLICE DEPARTMENT,SWAN'S ISLAND,ME
35,LINCOLN COUNTY SHERIFFS DEPARTMENT,WISCASSET,ME
36,BAR HARBOR POLICE DEPARTMENT,BAR HARBOR,ME
37,WIXOM POLICE DEPARTMENT,WIXOM,MI
38,SOUTH LYON POLICE DEPARTMENT,SOUTH LYON,MI
39,CARIBOU POLICE DEPARTMENT,CARIBOU,ME
40,MOUNT VERNON POLICE DEPARTMENT,MOUNT VERNON,KY
41,CARSON CITY POLICE DEPARTMENT,CARSON CITY,MI
42,GREENVILLE DEPARTMENT OF PUBLIC SAFETY,GREENVILLE,MI
43,WESTBROOK POLICE DEPARTMENT,WESTBROOK,ME
44,CAPE ELIZABETH POLICE DEPARTMENT,CAPE ELIZABETH,ME
45,ELKTON POLICE DEPARTMENT,ELKTON,KY
46,LAKE LINDEN POLICE DEPARTMENT,LAKE LINDEN,MI
47,HARDIN COUNTY SHERIFFS DEPARTMENT,ELIZABETHTOWN,KY
48,WATSONVILLE POLICE DEPARTMENT,WATSONVILLE,CA
49,MANTECA POLICE DEPARTMENT,MANTECA,CA
50,FORT BRAGG POLICE DEPARTMENT,FORT BRAGG,CA
51,BREMER COUNTY SHERIFFS OFFICE ,WAVERLY,IA
52,CHARLES CITY POLICE DEPARTMENT,CHARLES CITY,IA
53,SUTHERLAND POLICE DEPARTMENT,SUTHERLAND,IA
54,POMEROY POLICE DEPARTMENT,POMEROY,IA
55,SCOTT COUNTY SHERIFFS OFFICE ,DAVENPORT,IA
56,OTTUMWA POLICE DEPARTMENT,OTTUMWA,IA
57,PANORA POLICE DEPARTMENT,PANORA,IA
58,OSCEOLA POLICE DEPARTMENT,OSCEOLA,IA
59,PRESTON POLICE DEPARTMENT,PRESTON,IA
60,DE WITT POLICE DEPARTMENT,DE WITT,IA
61,DUBUQUE POLICE DEPARTMENT,DUBUQUE,IA
62,BELLEVUE POLICE DEPARTMENT,BELLEVUE,IA
63,MOUNT PLEASANT POLICE DEPARTMENT,MOUNT PLEASANT,IA
64,LINN COUNTY SHERIFFS DEPARTMENT,CEDAR RAPIDS,IA
65,TAMA POLICE DEPARTMENT,TAMA,IA
66,BEDFORD CITY POLICE DEPARTMENT,BEDFORD,IA
67,DAYTON POLICE DEPARTMENT,DAYTON,IA
68,CLIVE POLICE DEPARTMENT,CLIVE,IA
69,COLUMBUS JUNCTION POLICE DEPARTMENT,COLUMBUS JUNCTION,IA
70,MUSCATINE POLICE DEPARTMENT,MUSCATINE,IA
71,BELMOND POLICE DEPARTMENT,BELMOND,IA
72,LE CLAIRE POLICE DEPARTMENT,LE CLAIRE,IA
73,MANLY POLICE DEPARTMENT,MANLY,IA
74,COUNCIL BLUFFS POLICE DEPARTMENT,COUNCIL BLUFFS,IA
75,GROTON LONG POINT POLICE DEPARTMENT,GROTON,CT
76,SUNNY ISLES BEACH POLICE DEPARTMENT,SUNNY ISLES BEACH,FL
77,GILCREST POLICE DEPARTMENT,GILCREST,CO
78,ASSUMPTION PARISH SHERIFFS DEPARTMENT,NAPOLEONVILLE,LA
79,LOUISIANA STATE POLICE,BATON ROUGE,LA
80,CHINO POLICE DEPARTMENT,CHINO,CA
81,OCEANSIDE POLICE DEPARTMENT,OCEANSIDE,CA
82,STALLION SPRINGS POLICE DEPARTMENT,TEHACHAPI,CA
83,BAKERSFIELD POLICE DEPARTMENT,BAKERSFIELD,CA
84,BERKELEY POLICE DEPARTMENT,BERKELEY,CA
85,COLMA POLICE DEPARTMENT,COLMA,CA
86,MADERA POLICE DEPARTMENT,MADERA,CA
87,HARLAN POLICE DEPARTMENT,HARLAN,IA
88,OSKALOOSA POLICE DEPARTMENT,OSKALOOSA,IA
89,WINDSOR HEIGHTS POLICE DEPARTMENT,WINDSOR HEIGHTS,IA
90,ODEBOLT POLICE DEPARTMENT,ODEBOLT,IA
91,DAVENPORT CITY POLICE DEPARTMENT,DAVENPORT,IA
92,AMES POLICE DEPARTMENT,AMES,IA
93,FOREST CITY POLICE DEPARTMENT,FOREST CITY,IA
94,OKOBOJI POLICE DEPARTMENT,OKOBOJI,IA
95,PRAIRIE CITY POLICE DEPARTMENT,PRAIRIE CITY,IA
96,GUTTENBERG POLICE DEPARTMENT,GUTTENBERG,IA
97,IOWA DEPARTMENT OF PUBLIC SAFETY,DES MOINES,IA
98,TOLUCA POLICE DEPARTMENT,TOLUCA,IL
99,EFFINGHAM WATER AUTHORITY POLICE DEPARTMENT,EFFINGHAM,IL
100,RAWLINS COUNTY SHERIFFS OFFICE ,ATWOOD,KS
101,WAMEGO POLICE DEPARTMENT,WAMEGO,KS
102,DYER POLICE DEPARTMENT,DYER,IN
103,CROWN POINT POLICE DEPARTMENT,CROWN POINT,IN
104,EMMETT POLICE DEPARTMENT,EMMETT,ID
105,MONROEVILLE POLICE DEPARTMENT,MONROEVILLE,IN
106,BARDWELL POLICE DEPARTMENT,BARDWELL,KY
107,MUNSTER POLICE DEPARTMENT,MUNSTER,IN
108,LOWELL POLICE DEPARTMENT,LOWELL,IN
109,TROY POLICE DEPARTMENT,TROY,KS
110,LA CROSSE POLICE DEPARTMENT,LA CROSSE,KS
111,WALTON POLICE DEPARTMENT,WALTON,KS
112,JACKSON COUNTY SHERIFFS OFFICE,BROWNSTOWN,IN
113,BRUNSWICK POLICE DEPARTMENT,BRUNSWICK,MD
114,WYOMING POLICE DEPARTMENT,WYOMING,IL
115,CHEYENNE COUNTY SHERIFFS OFFICE,SAINT FRANCIS,KS
116,HYDEN POLICE DEPARTMENT,HYDEN,KY
117,MACKSVILLE POLICE DEPARTMENT,MACKSVILLE,KS
118,CONCORDIA POLICE DEPARTMENT,CONCORDIA,KS
119,LANE COUNTY SHERIFFS OFFICE ,DIGHTON,KS
120,HUMBOLDT POLICE DEPARTMENT,HUMBOLDT,KS
121,LEWIS COUNTY SHERIFFS OFFICE ,NEZPERCE,ID
122,TETON COUNTY SHERIFFS OFFICE,DRIGGS,ID
123,BELLEVUE POLICE DEPARTMENT,BELLEVUE,MI
124,ZILWAUKEE POLICE DEPARTMENT,SAGINAW,MI
125,TITTABAWASSEE TOWNSHIP POLICE DEPARTMENT,FREELAND,MI
126,OWYHEE COUNTY SHERIFFS OFFICE,MURPHY,ID
127,DENMARK TOWNSHIP POLICE DEPARTMENT,RICHVILLE,MI
128,ASHLAND POLICE DEPARTMENT,ASHLAND,IL
129,SAINT MARYS COUNTY SHERIFFS OFFICE,LEONARDTOWN,MD
130,LESLIE POLICE DEPARTMENT,LESLIE,MI
131,THOMAS TOWNSHIP POLICE DEPARTMENT,SAGINAW,MI
132,OAK LAWN POLICE DEPARTMENT,OAK LAWN,IL
133,COFFEEN POLICE DEPARTMENT,COFFEEN,IL
134,MONTPELIER POLICE DEPARTMENT,MONTPELIER,ID
135,MORRISONVILLE POLICE DEPARTMENT,MORRISONVILLE,IL
136,CUSTER COUNTY SHERIFFS OFFICE ,CHALLIS,ID
137,EDINBURGH POLICE DEPARTMENT,EDINBURGH,IN
138,GREENE COUNTY SHERIFF ,BLOOMFIELD,IN
139,CORYDON POLICE DEPARTMENT,CORYDON,IN
140,ARCADIA POLICE DEPARTMENT,ARCADIA,IN
141,DOUGLAS COUNTY SHERIFF DEPARTMENT ,TUSCOLA,IL
142,FRANKLIN COUNTY SHERIFFS OFFICE,PRESTON,ID
143,PONDERAY POLICE DEPARTMENT,PONDERAY,ID
144,PRESTON POLICE DEPARTMENT,PRESTON,ID
145,DEARBORN COUNTY SHERIFFS DEPARTMENT,LAWRENCEBURG,IN
146,WINNEBAGO COUNTY SHERIFF ,ROCKFORD,IL
147,WARREN COUNTY SHERIFFS OFFICE ,MONMOUTH,IL
148,CITY OF CLIO POLICE DEPARTMENT,CLIO,MI
149,CADIZ POLICE DEPARTMENT,CADIZ,KY
150,BROWN COUNTY SHERIFFS OFFICE,NASHVILLE,IN
151,IRON RIVER POLICE DEPARTMENT,IRON RIVER,MI
152,ROCKFORD POLICE DEPARTMENT,ROCKFORD,MI
153,SPARTA POLICE DEPARTMENT,SPARTA,MI
154,AUBURN POLICE DEPARTMENT,AUBURN,KY
155,BOURBON COUNTY SHERIFFS DEPARTMENT,PARIS,KY
156,BELLEVUE POLICE DEPARTMENT,BELLEVUE,KY
157,ELLINWOOD POLICE DEPARTMENT,ELLINWOOD,KS
158,LINDSBORG POLICE DEPARTMENT,LINDSBORG,KS
159,LEITCHFIELD POLICE,LEITCHFIELD,KY
160,CANEYVILLE POLICE DEPARTMENT,CANEYVILLE,KY
161,RUSSELL POLICE DEPARTMENT,RUSSELL,KS
162,MCPHERSON POLICE DEPARTMENT,MCPHERSON,KS
163,MARION POLICE DEPARTMENT,MARION,KY
164,TAYLOR MILL POLICE DEPARTMENT,LATONIA,KY
165,CLARKSON POLICE DEPARTMENT,CLARKSON,KY
166,PIKEVILLE POLICE DEPARTMENT,PIKEVILLE,KY
167,MERRIAM POLICE DEPARTMENT,MERRIAM,KS
168,BEREA CITY POLICE DEPARTMENT,BEREA,KY
169,ROSE HILL POLICE DEPARTMENT,ROSE HILL,KS
170,JOHNSON COUNTY PARK POLICE,LENEXA,KS
171,DODGE CITY POLICE DEPARTMENT,DODGE CITY,KS
172,BURDEN POLICE DEPARTMENT,BURDEN,KS
173,MORGANTOWN CITY POLICE DEPARTMENT,MORGANTOWN,KY
174,OAK GROVE POLICE DEPARTMENT,OAK GROVE,KY
175,MULDRAUGH POLICE DEPARTMENT,MULDRAUGH,KY
176,MORGAN COUNTY SHERIFFS OFFICE,WEST LIBERTY,KY
177,MONROE COUNTY SHERIFFS OFFICE,TOMPKINSVILLE,KY
178,OCEAN CITY POLICE DEPARTMENT,OCEAN CITY,MD
179,BULLITT COUNTY SHERIFFS OFFICE,SHEPHERDSVILLE,KY
180,ADAIR COUNTY SHERIFFS OFFICE,COLUMBIA,KY
181,DAMARISCOTTA POLICE DEPARTMENT,DAMARISCOTTA,ME
182,BANGOR POLICE DEPARTMENT,BANGOR,ME
183,CHESTERFIELD POLICE DEPARTMENT,CHESTERFIELD,IN
184,MILFORD POLICE DEPARTMENT,MILFORD,MI
185,GOVE COUNTY SHERIFFS DEPARTMENT,GOVE,KS
186,TROY POLICE DEPARTMENT,TROY,MI
187,NOVI POLICE DEPARTMENT,NOVI,MI
188,BROWN CITY POLICE DEPARTMENT,BROWN CITY,MI
189,SANDUSKY POLICE DEPARTMENT,SANDUSKY,MI
190,PRESQUE ISLE POLICE DEPARTMENT,PRESQUE ISLE,ME
191,PORTLAND POLICE DEPARTMENT,PORTLAND,ME
192,GORHAM POLICE DEPARTMENT,GORHAM,ME
193,CARLETON POLICE DEPARTMENT,CARLETON,MI
194,COLEMAN CITY POLICE DEPARTMENT,COLEMAN,MI
195,HOWARD CITY POLICE DEPARTMENT,HOWARD CITY,MI
196,LAKEVIEW POLICE DEPARTMENT,LAKEVIEW,MI
197,NORTON SHORES POLICE DEPARTMENT,NORTON SHORES,MI
198,ROOSEVELT PARK POLICE DEPARTMENT,ROOSEVELT PARK,MI
199,BAD AXE POLICE DEPARTMENT,BAD AXE,MI
200,KALAMAZOO DEPARTMENT OF PUBLIC SAFETY,KALAMAZOO,MI
201,JUNCTION CITY POLICE DEPARTMENT,JUNCTION CITY,KY
202,LAKE ODESSA POLICE DEPARTMENT,LAKE ODESSA,MI
203,RAVENNA POLICE DEPARTMENT,RAVENNA,KY
204,MONTROSE TOWNSHIP POLICE DEPARTMENT,MONTROSE,MI
205,CAVE IN ROCK POLICE DEPARTMENT,CAVE IN ROCK,IL
206,HAWESVILLE POLICE DEPARTMENT,HAWESVILLE,KY
207,IRVINE POLICE DEPARTMENT,IRVINE,KY
208,GRAYMOOR-DEVONDALE POLICE DEPARTMENT,LOUISVILLE,KY
209,BLACKMAN TOWNSHIP DEPARTMENT OF PUBLIC SAFETY,JACKSON,MI
210,SPRINGPORT TOWNSHIP POLICE DEPARTMENT,SPRINGPORT,MI
211,PARCHMENT POLICE DEPARTMENT,PARCHMENT,MI
212,COLD SPRING POLICE DEPARTMENT,NEWPORT,KY
213,MOUNDRIDGE POLICE DEPARTMENT,MOUNDRIDGE,KS
214,DAYTON POLICE DEPARTMENT,DAYTON,KY
215,MONROE CITY POLICE DEPARTMENT,MONROE,MI
216,GREENUP POLICE DEPARTMENT,GREENUP,KY
217,FLATWOODS POLICE DEPARTMENT,FLATWOODS,KY
218,MORGANFIELD CITY POLICE DEPARTMENT,MORGANFIELD,KY
219,UNION COUNTY SHERIFFS DEPARTMENT,MORGANFIELD,KY
220,GRANDVIEW PLAZA POLICE DEPARTMENT,JUNCTION CITY,KS
221,SHAWNEE COUNTY SHERIFFS OFFICE,TOPEKA,KS
222,MAYSVILLE POLICE DEPARTMENT,MAYSVILLE,KY
223,SHELBYVILLE POLICE DEPARTMENT,SHELBYVILLE,KY
224,CLINTON COUNTY SHERIFFS OFFICE,ALBANY,KY
225,LINCOLN COUNTY SHERIFFS OFFICE,STANFORD,KY
226,CHOCOLAY TOWNSHIP POLICE DEPARTMENT,MARQUETTE,MI
227,WILLIAMSBURG POLICE DEPARTMENT,WILLIAMSBURG,KY
228,VINE GROVE POLICE DEPARTMENT,VINE GROVE,KY
229,GLENCOE POLICE DEPARTMENT,GLENCOE,KY
230,ROCKVILLE CITY POLICE DEPARTMENT,ROCKVILLE,MD
231,FAIRFIELD POLICE DEPARTMENT,FAIRFIELD,ME
232,DEXTER POLICE DEPARTMENT,DEXTER,ME
233,STURGIS CITY POLICE DEPARTMENT,STURGIS,KY
234,WHITE LAKE TOWNSHIP POLICE DEPARTMENT,WHITE LAKE,MI
235,HOULTON POLICE DEPARTMENT,HOULTON,ME
236,CROSWELL POLICE DEPARTMENT,CROSWELL,MI
237,KENNEBEC COUNTY SHERIFFS DEPARTMENT,AUGUSTA,ME
238,HAMPDEN POLICE DEPARTMENT,HAMPDEN,ME
239,SMITHS GROVE POLICE DEPARTMENT,SMITHS GROVE,KY
240,GIBSON COUNTY SHERIFFS DEPARTMENT ,PRINCETON,IN
241,EDMORE POLICE DEPARTMENT,EDMORE,MI
242,PLEASANTON POLICE DEPARTMENT,PLEASANTON,KS
243,HUSTONVILLE POLICE DEPARTMENT,HUSTONVILLE,KY
244,CLAY CITY POLICE DEPARTMENT,CLAY CITY,KY
245,PLEASANT RIDGE POLICE DEPARTMENT,PLEASANT RIDGE,MI
246,BLOOMFIELD TOWNSHIP POLICE DEPARTMENT,BLOOMFIELD HILLS,MI
247,SOUTHAMPTON POLICE DEPARTMENT,SOUTHAMPTON,MA
248,WRIGHT COUNTY SHERIFFS OFFICE,CLARION,IA
249,LASSEN COUNTY SHERIFFS DEPARTMENT,SUSANVILLE,CA
250,SAN MATEO COUNTY SHERIFFS OFFICE,REDWOOD CITY,CA
251,MONTEREY COUNTY SHERIFFS OFFICE,SALINAS,CA
252,ACUSHNET POLICE DEPARTMENT,ACUSHNET,MA
253,BEDFORD POLICE DEPARTMENT,BEDFORD,MA
254,UNIVERSITY OF CONNECTICUT-STORRS POLICE HEADQUARTERS,STORRS,CT
255,TALLAHASSEE POLICE DEPARTMENT,TALLAHASSEE,FL
256,CAUSEWAY POLICE DEPARTMENT,SAINT GABRIEL,LA
257,UNIVERSITY OF IOWA DEPARTMENT OF PUBLIC SAFETY,IOWA CITY,IA
258,ADEL POLICE DEPARTMENT,ADEL,IA
259,ANITA POLICE DEPARTMENT,ANITA,IA
260,TUCSON AIRPORT AUTHORITY POLICE DEPARTMENT,TUCSON,AZ
261,SARASOTA MANATEE AIRPORT AUTHORITY POLICE DEPARTMENT,SARASOTA,FL
262,SMYRNA MARSHAL'S OFFICE,SMYRNA,GA
263,DEKALB TECHNICAL COLLEGE POLICE,CLARKSTON,GA
264,DEKALB COUNTY SCHOOLS DEPT. OF PUBLIC SAFETY,STONE MOUNTAIN,GA
265,SANTA BARBARA COUNTY MAIN JAIL,SANTA BARBARA,CA
266,MARTIN POLICE DEPARTMENT,MARTIN,LA
267,NAUGATUCK VALLEY COMMUNITY COLLEGE  ,WATERBURY,CT
268,BLACK RIVER TECHNICAL COLLEGE POLICE,POCAHONTAS,AR
269,VOLUSIA COUNTY SHERIFF'S OFFICE  ,DAYTONA BEACH,FL
270,UNIVERSITY OF COLORADO HEALTH SCIENCES ,AURORA,CO
271,LOUISIANA STATE UNIVERSITY POLICE DEPARTMENT  ,SHREVEPORT,LA
272,SYCUAN TRIBAL DEPARTMENT OF PUBLIC SAFETY,EL CAJON,CA
273,HOPLAND TRIBAL POLICE DEPARTMENT,HOPLAND,CA
274,CALIFORNIA STATE UNIVERSITY-CHANNEL ISLANDS POLICE DEPARTMENT,CAMARILLO,CA
275,GRANGER POLICE DEPARTMENT,GRANGER,IA
276,ANTHON POLICE DEPARTMENT,ANTHON,IA
277,HABERSHAM COUNTY BOARD OF EDUCATION POLICE,MOUNT AIRY,GA
278,WEST CENTRAL GEORGIA REGIONAL HOSPITAL POLICE,COLUMBUS,GA
279,NEW HARMONY TOWN MARSHAL,NEW HARMONY,IN
280,EAST DUBUQUE POLICE DEPARTMENT,EAST DUBUQUE,IL
281,BOURBONNAIS POLICE DEPARTMENT,BOURBONNAIS,IL
282,WALLACE COUNTY SHERIFFS DEPARTMENT ,SHARON SPRINGS,KS
283,MAINE STATE POLICE TROOP D,THOMASTON,ME
284,CHERRYVALE POLICE DEPARTMENT,CHERRYVALE,KS
285,DELAWARE RIVER AND BAY AUTHORITY POLICE DEPARTMENT ,NEW CASTLE,DE
286,NORTHERN MICHIGAN UNIVERSITY PUBLIC SAFETY AND POLICE SERVICES,MARQUETTE,MI
287,MOREHEAD STATE UNIVERSITY POLICE DEPARTMENT,MOREHEAD,KY
288,DELAWARE STATE POLICE TROOP 3  ,DOVER,DE
289,KANSAS CITY KANSAS COMMUNITY COLLEGE CAMPUS POLICE,KANSAS CITY,KS
290,BLACK HAWK COLLEGE DEPARTMENT OF PUBLIC SAFETY  ,MOLINE,IL
291,COPPIN STATE UNIVERSITY PUBLIC SAFETY DEPARTMENT,BALTIMORE,MD
292,BOWIE STATE UNIVERSITY CAMPUS POLICE,BOWIE,MD
293,ALEDO POLICE DEPARTMENT,ALEDO,IL
294,SOUTH SUBURBAN COLLEGE POLICE DEPARTMENT,SOUTH HOLLAND,IL
295,STICKNEY POLICE DEPARTMENT,STICKNEY,IL
296,TOWER LAKES POLICE DEPARTMENT,TOWER LAKES,IL
297,PORT BARRINGTON POLICE DEPARTMENT,PORT BARRINGTON,IL
298,STAUNTON POLICE DEPARTMENT,STAUNTON,IL
299,GLENWOOD POLICE DEPARTMENT,GLENWOOD,IL
300,CENTRALIA POLICE DEPARTMENT,CENTRALIA,IL
301,GURNEE POLICE DEPARTMENT,GURNEE,IL
302,POLO POLICE DEPARTMENT,POLO,IL
303,RICHMOND COUNTY SHERIFFS OFFICE  ,AUGUSTA,GA
304,HABERSHAM COUNTY SHERIFFS OFFICE  ,CLARKESVILLE,GA
305,MUSCOGEE COUNTY SHERIFFS OFFICE,COLUMBUS,GA
306,JONES COUNTY SHERIFFS DEPARTMENT  ,GRAY,GA
307,MCINTOSH COUNTY LAW ENFORCEMENT CENTER,DARIEN,GA
308,CARROLL COUNTY SHERIFFS OFFICE,CARROLLTON,GA
309,CALHOUN COUNTY SHERIFFS OFFICE,MORGAN,GA
310,HABERSHAM COUNTY MARSHALS OFFICE,CLARKESVILLE,GA
311,PULASKI COUNTY SHERIFFS OFFICE,HAWKINSVILLE,GA
312,GLASCOCK COUNTY SHERIFFS OFFICE,GIBSON,GA
313,CLARKE COUNTY SHERIFFS OFFICE,ATHENS,GA
314,COOK COUNTY SHERIFFS DEPARTMENT  ,ADEL,GA
315,EARLY COUNTY DEPARTMENT OF PUBLIC SAFETY,BLAKELY,GA
316,BUTTS COUNTY SHERIFFS OFFICE  ,JACKSON,GA
317,WILCOX COUNTY SHERIFFS DEPARTMENT  ,ABBEVILLE,GA
318,DEKALB COUNTY SHERIFFS OFFICE  ,DECATUR,GA
319,LAURENS COUNTY SHERIFFS DEPARTMENT  ,DUBLIN,GA
320,CAMDEN COUNTY SHERIFFS DEPARTMENT  ,WOODBINE,GA
321,BANKS COUNTY SHERIFFS OFFICE  ,HOMER,GA
322,BIBB COUNTY SHERIFFS OFFICE,MACON,GA
323,PICKENS COUNTY SHERIFFS OFFICE  ,JASPER,GA
324,GLYNN COUNTY SHERIFFS DEPARTMENT  ,BRUNSWICK,GA
325,TIFT COUNTY SHERIFFS DEPARTMENT  ,TIFTON,GA
326,UPSON COUNTY SHERIFFS OFFICE  ,THOMASTON,GA
327,MCDUFFIE COUNTY SHERIFF  ,THOMSON,GA
328,TAYLOR COUNTY SHERIFFS OFFICE  ,BUTLER,GA
329,HARALSON COUNTY SHERIFFS OFFICE  ,BUCHANAN,GA
330,HALL COUNTY SHERIFFS OFFICE,GAINESVILLE,GA
331,TOWNS COUNTY SHERIFFS OFFICE,YOUNG HARRIS,GA
332,POCAHONTAS COUNTY SHERIFFS OFFICE  ,POCAHONTAS,IA
333,DAVIS COUNTY SHERIFFS DEPARTMENT  ,BLOOMFIELD,IA
334,IOWA STATE PATROL  ,OSCEOLA,IA
335,PALMETTO POLICE DEPARTMENT,PALMETTO,FL
336,AUBURNDALE POLICE DEPARTMENT,AUBURNDALE,FL
337,LAKE HAMILTON POLICE DEPARTMENT,LAKE HAMILTON,FL
338,WHITE SPRINGS POLICE DEPARTMENT,WHITE SPRINGS,FL
339,LAKE PLACID POLICE DEPARTMENT,LAKE PLACID,FL
340,WINTER HAVEN POLICE DEPARTMENT,WINTER HAVEN,FL
341,BOCA RATON POLICE DEPARTMENT,BOCA RATON,FL
342,MONTICELLO POLICE DEPARTMENT,MONTICELLO,FL
343,PALM BEACH GARDENS POLICE DEPARTMENT,PALM BEACH GARDENS,FL
344,BRADENTON BEACH POLICE DEPARTMENT,BRADENTON BEACH,FL
345,BRADENTON POLICE DEPARTMENT,BRADENTON,FL
346,LARGO POLICE DEPARTMENT,LARGO,FL
347,COTTONDALE POLICE DEPARTMENT,COTTONDALE,FL
348,COLEMAN POLICE DEPARTMENT,COLEMAN,FL
349,INDIAN RIVER SHORES POLICE DEPARTMENT,VERO BEACH,FL
350,DE FUNIAK SPRINGS POLICE DEPARTMENT,DE FUNIAK SPRINGS,FL
351,APALACHICOLA POLICE DEPARTMENT,APALACHICOLA,FL
352,IOWA STATE PATROL  ,DES MOINES,IA
353,HAINES CITY POLICE DEPARTMENT,HAINES CITY,FL
354,CLAYTON COUNTY POLICE DEPARTMENT  ,JONESBORO,GA
355,KINGSTON POLICE DEPARTMENT,KINGSTON,GA
356,WEST FELICIANA PARISH SHERIFFS OFFICE,SAINT FRANCISVILLE,LA
357,LA SALLE PARISH SHERIFFS OFFICE,JENA,LA
358,MADISON PARISH SHERIFFS DEPARTMENT,TALLULAH,LA
359,ORLEANS PARISH CIVIL SHERIFFS OFFICE,NEW ORLEANS,LA
360,UNION PARISH SHERIFF DEPARTMENT,FARMERVILLE,LA
361,IOWA STATE PATROL  ,OTTUMWA,IA
362,CALCASIEU PARISH SHERIFFS DEPARTMENT,LAKE CHARLES,LA
363,IBERIA PARISH SHERIFFS DEPARTMENT,NEW IBERIA,LA
364,AVOYELLES PARISH SHERIFFS DEPARTMENT  ,MARKSVILLE,LA
365,EVANGELINE PARISH SHERIFFS DEPARTMENT,VILLE PLATTE,LA
366,SAINT JOHN THE BAPTIST PARISH SHERIFFS OFFICE  ,LAPLACE,LA
367,EAST BATON ROUGE PARISH SHERIFFS DEPARTMENT  ,BATON ROUGE,LA
368,VERNON PARISH SHERIFFS DEPARTMENT  ,LEESVILLE,LA
369,BIENVILLE PARISH SHERIFFS OFFICE  ,ARCADIA,LA
370,IOWA STATE PATROL  ,CHEROKEE,IA
371,ALPINE COUNTY SHERIFFS DEPARTMENT,MARKLEEVILLE,CA
372,HANOVER POLICE DEPARTMENT,HANOVER,MA
373,SOUTHWICK POLICE DEPARTMENT,SOUTHWICK,MA
374,HOLDEN POLICE DEPARTMENT,HOLDEN,MA
375,FITCHBURG POLICE DEPARTMENT,FITCHBURG,MA
376,BLACKSTONE POLICE DEPARTMENT,BLACKSTONE,MA
377,NAHANT POLICE DEPARTMENT,NAHANT,MA
378,MIDDLETON POLICE DEPARTMENT,MIDDLETON,MA
379,HAMILTON POLICE DEPARTMENT,HAMILTON,MA
380,BOSTON POLICE DEPARTMENT  ,BOSTON,MA
381,FALL RIVER POLICE DEPARTMENT,FALL RIVER,MA
382,HAMPDEN POLICE STATION,HAMPDEN,MA
383,DRACUT POLICE DEPARTMENT,DRACUT,MA
384,ORLEANS POLICE DEPARTMENT,ORLEANS,MA
385,TRURO POLICE DEPARTMENT,TRURO,MA
386,CARVER POLICE DEPARTMENT,CARVER,MA
387,EASTHAM POLICE DEPARTMENT,EASTHAM,MA
388,MANCHESTER POLICE DEPARTMENT,MANCHESTER BY THE SEA,MA
389,MONTGOMERY POLICE DEPARTMENT,MONTGOMERY,LA
390,CHURCH POINT POLICE DEPARTMENT,CHURCH POINT,LA
391,ADDIS POLICE DEPARTMENT,ADDIS,LA
392,MOREAUVILLE POLICE DEPARTMENT,MOREAUVILLE,LA
393,GOLDEN MEADOW POLICE DEPARTMENT,GOLDEN MEADOW,LA
394,MAURICE POLICE DEPARTMENT,MAURICE,LA
395,BROUSSARD POLICE DEPARTMENT,BROUSSARD,LA
396,GONZALES POLICE DEPARTMENT,GONZALES,LA
397,VINTON POLICE DEPARTMENT,VINTON,LA
